parse_cycles,queue_cycles
12339,127130
17362,115510
7349,83480
10655,219937
18938,82230
16728,51600
16317,85646
13277,116502
12445,99803
12950,105165
12386,67113
10711,66521
7728,50141
9104,122777
14437,163791
18146,102001
11557,109100
25997,127219
15002,162627
16806,165105
10246,148182
9213,94245
11707,129843
11983,117383
15989,65671
9092,97078
11625,96419
14192,106300
13861,43331
16395,99688
11962,29999
14487,110462
15918,140543
16552,132805
14901,84725
16292,77656
12373,132272
12478,194232
15198,86991
12663,73687
13585,99495
9509,98167
12047,82166
12989,77083
21489,190215
11025,90317
9984,105754
13586,112642
9272,103359
6639,87633
18622,128461
14905,54853
11167,130965
15635,162878
10148,91365
19237,87158
14470,66652
17165,55095
11212,78994
12874,137799
11133,109164
10388,94658
9851,100358
17822,161273
16095,81435
9344,115918
8296,162224
10895,54726
21241,112757
10552,80141
11920,119771
12107,71918
12996,121329
17258,99155
15207,85811
12880,102100
15436,172689
15513,97868
21194,130669
11654,108168
17880,68446
10121,90821
19033,72534
11167,62000
12559,131628
13695,45409
10720,35010
12236,59772
12865,114216
24410,44712
9487,80176
13185,127360
12348,183951
15101,110298
11078,84581
14591,65729
12398,92935
7997,112586
15693,97284
13328,83738
13215,104923
13143,105458
10190,71132
11693,90108
10092,81842
10317,106205
15400,111449
11130,82274
15580,115793
10641,75737
14256,124900
12995,93771
11874,51575
14152,113952
10961,93287
13242,79119
10453,168962
12331,76127
12287,86544
19945,65466
15866,93353
12066,120556
12730,66419
15365,80599
13166,90213
9942,30018
17079,129752
11370,118636
6743,86796
11932,51689
18722,111782
14313,80076
10697,147794
12412,102963
12709,136788
24074,53421
10425,128463
9432,39427
10347,78620
23003,75538
10441,127689
12832,99029
10060,34283
13927,76508
12147,228657
8759,77216
13188,154831
6813,115676
11718,107973
8072,145045
11168,131559
10321,54380
12954,122216
11458,151605
12789,113562
12501,73866
12641,100941
13679,75958
12867,98240
15245,90917
14492,69022
13665,105937
17729,84537
18986,78907
21650,48891
9034,137524
20181,22316
11750,82607
13873,200306
14533,106898
17020,80501
9957,132722
18425,174468
12727,128422
12577,77569
16196,82630
11856,105148
18663,41864
12703,100426
13734,88626
8443,73062
11972,89641
12203,108937
9603,117005
13976,75189
15588,123056
14066,151288
13212,176904
12033,118453
13646,151768
15268,101786
9961,80669
9839,69162
13596,102012
10889,117092
21404,126756
7777,117934
12200,75948
9584,112558
14041,37299
13021,112855
7160,61940
13493,78057
14449,157635
10344,129826
16571,125957
14095,126710
9930,147952
12493,36080
19300,59319
20372,79094
11350,70836
15611,83962
13198,117316
9778,155346
19711,119510
13820,66748
12235,131463
11276,152333
18538,164406
10117,83465
12433,91880
14657,170436
11956,34004
10363,55917
15055,192432
11273,80752
10742,132352
9967,83863
12504,64084
13644,105754
11071,37985
16911,77546
15852,51819
18358,55112
9882,58869
18990,101504
14208,128672
12565,83478
20536,107270
9908,90336
16190,81081
18164,166547
17211,186937
17805,110954
15302,109508
15285,93055
26432,161282
8988,117212
11716,102466
10272,90909
16849,124393
14151,163241
9944,51488
13527,91892
13089,113328
14531,98667
9064,63226
20326,98516
9745,116337
9322,93857
12023,52156
14331,172344
12484,97718
12044,40394
9857,165699
12106,117555
9511,112955
11514,138507
16178,54408
16616,140543
16540,70453
8885,88483
9833,92670
12953,135884
11559,260971
12818,125256
9957,190672
14816,80962
14508,63899
20388,64466
18389,152110
15768,74585
14217,110173
14692,44892
20357,110250
9915,99923
8989,76519
15998,99259
8824,75921
11897,153814
9477,109404
10905,69621
13785,211950
12567,60019
15716,104132
12332,143663
14228,161795
11605,99699
11927,136646
14413,67776
11208,66506
11211,99120
12555,203382
12376,107128
12978,130725
15958,114036
17242,136059
12224,270353
13072,115016
16526,80531
15239,96863
15618,50863
10629,77349
10363,152088
11615,133161
16471,120920
14955,63186
15629,39272
18210,54467
14469,87265
14678,70843
14021,161371
17558,76861
8361,186763
19033,137827
12861,122043
9058,99420
14018,121856
13101,53117
14230,132578
10921,133083
16518,100065
11141,147467
11470,153310
8527,94371
20581,66065
14519,77713
9978,103479
12395,116423
9709,68772
9197,98126
12523,105353
17054,205879
13171,126291
10547,93361
13351,132063
13034,108949
14157,63853
12903,103363
19863,83061
11524,96369
13378,115612
11294,127432
8709,105754
11386,72645
8096,89736
14506,58651
9771,132227
10578,107793
22031,130819
12520,78761
15329,73426
8692,117513
9640,87095
9575,204312
17751,139161
9347,135103
19378,104427
15760,167225
12790,124056
16606,119718
10448,58365
9397,137081
11796,99931
13859,89760
13002,118849
12106,86306
14462,110579
13200,119895
11012,68267
13838,129856
9024,60667
12958,90359
15141,83374
13376,115187
10739,87843
9486,123536
13193,72594
15675,58418
8737,52445
12940,139016
17290,52500
14821,174338
8177,55858
10011,96161
15802,67995
7181,118377
7802,147121
12896,39734
9104,128402
13237,150523
12793,70271
16430,177982
21053,169674
19010,224224
10999,147552
13827,185252
13998,72474
15498,76621
13418,68588
14366,146275
11907,206399
7335,36708
11006,89944
11940,73770
9186,142581
12448,118331
11979,41294
8648,89950
10548,131656
15831,176065
8968,106133
20169,173224
17183,84546
17031,83092
11695,101759
11171,71507
13397,58477
12719,123540
12060,69361
14274,75891
7855,91660
16340,64378
17763,116615
11691,76200
10642,82594
11921,79210
12104,129140
14919,91066
20215,53198
15368,130396
14130,94357
8569,45691
9083,72079
11098,38679
12488,205100
14418,128137
16202,171813
10539,63518
8481,47432
12205,182770
10975,55706
7958,77843
18863,96234
9565,168641
8733,144657
14563,109471
13062,231014
10182,36069
11554,72443
13825,176023
13141,73838
14711,79315
6656,103199
16733,97514
12715,91731
14917,57854
12246,108423
12103,107603
19159,178595
14982,104695
11198,139008
16775,75709
17572,174475
13796,62074
12829,101648
17025,183750
10920,113296
14854,106754
20634,97504
11635,45008
10993,77362
12638,74416
10182,142609
12661,51279
20252,85774
11124,65349
13665,137402
9031,123935
8429,132113
10311,95704
13386,54194
15940,91348
11322,143064
25936,132747
12464,65423
10300,68469
16177,83474
12699,81974
10824,167147
11800,160437
13278,140508
12179,109541
15012,135922
14876,122620
12904,72302
16142,223486
13499,131274
11875,93322
12692,95439
11482,66263
10245,72617
16519,100432
14524,70291
10239,91889
9836,131893
10952,75336
10241,74465
11451,93219
11296,98716
11184,88572
8477,47219
11111,67015
13456,62494
11833,81132
6406,134454
13391,54795
14919,96284
13742,113727
10845,65275
12617,106847
16370,81853
7576,90299
9246,96930
16342,81087
11496,61000
16098,73815
11905,180072
11487,64717
8718,39411
12409,124345
9748,115913
19461,90882
16162,227943
22591,119256
11040,125512
14754,134793
15850,53232
18176,157967
16362,150962
14472,101731
6328,260629
9984,133441
25357,97762
8598,90379
9907,149218
17762,107732
14098,228234
9197,97868
12464,70102
14757,80856
12496,153355
14467,144154
8312,116525
15464,113632
12487,79285
12464,54022
11125,82959
14614,66563
11245,46243
13250,96852
15635,111160
10488,139543
15296,154456
13069,100428
8731,137362
11222,92002
12749,35781
12781,82265
21081,54508
12273,111729
9067,128690
7261,62430
12162,89975
13712,78667
14484,49601
13001,84022
9939,248108
21500,59786
9865,207569
9472,63602
14124,151996
9789,84041
11838,104655
10221,99901
11088,45563
16146,152123
16897,120198
8144,120484
12374,215804
12387,53149
13557,186580
14468,90394
15554,46471
10877,100602
12475,76414
10585,101338
16772,120707
16252,103546
17567,191837
12780,84653
14598,101290
9932,82634
13693,136316
16007,83457
11393,46115
9298,64632
19006,63253
14686,73038
10648,89455
12300,100734
12787,127198
11829,65803
13934,199972
10860,142804
14716,104812
10883,82561
9174,66458
19030,43345
20984,67458
12313,44026
14946,148400
8461,50651
12835,100168
7181,141060
23659,87109
8188,318943
13076,86447
17018,144603
15180,88584
11229,129686
10470,50264
11690,54560
14818,95894
17579,119510
14782,108140
13920,89472
8020,135104
9493,61170
12946,43482
16276,57688
8598,112269
12566,91930
10168,85772
7659,56025
13441,173236
9151,87611
10934,93315
12911,143240
16057,111239
11537,117253
13125,96853
13024,145276
12946,78385
20264,73386
13280,129017
12726,86910
10656,82325
17441,82495
11235,98161
10661,67671
12566,85684
9026,47317
12962,68840
10363,109984
15037,161954
23600,112623
18137,79305
10039,66862
14848,88357
12331,103592
9783,72919
11753,70362
13874,116291
10318,70787
15369,149162
7760,99761
14078,54438
11910,154888
15093,191894
9675,53823
9671,138249
16869,74767
10452,168244
18435,138627
18653,101680
14572,70775
14071,75973
13341,106424
15347,86633
9433,97279
12994,195767
19191,57077
15510,155302
15519,88283
14163,87607
14364,91274
10715,76232
12997,66944
11969,102347
11543,118195
12512,141315
13336,78180
15731,81280
18161,157950
8693,70759
13208,168196
22778,75049
16111,124296
14763,128704
11171,80422
12129,219869
10993,53356
11424,80446
13508,73305
9266,112925
12984,118978
13611,106379
13092,90126
11527,86336
14275,119338
9846,83377
9671,108781
13597,43652
10599,104501
14994,93122
15819,141367
13939,68957
12308,100557
12853,57397
13589,54076
23727,99127
11402,122792
14149,79231
17488,135170
14769,79671
10518,67129
15800,93763
11923,88126
11960,48539
12703,185617
13746,192521
17527,112727
12822,77984
7516,75485
11144,137452
13704,48555
18344,77415
8813,129805
8732,43639
13283,219934
15980,129951
17516,111649
11359,106520
11438,94569
12901,179422
10439,88564
14081,71373
9441,142612
14198,198026
14062,78221
16636,75292
10942,21782
18865,65727
13887,44637
15806,154465
9371,102801
8600,43599
9620,66362
12331,124791
7943,72734
13464,114274
7841,121331
12973,82737
9815,55240
14138,218839
17452,46168
10718,54349
11496,126595
12298,109013
13989,55845
17899,246869
15317,127925
14222,134423
8281,75799
12763,99127
9356,185993
22115,75220
14987,45190
11884,98448
18177,77391
13362,76991
12592,93998
14187,86160
12475,75104
9100,110453
9643,44703
11543,51424
14304,108875
16541,135859
11725,62000
12172,103876
13147,218695
14333,63598
14412,66469
12373,94913
15394,118892
12787,139555
10793,57541
17271,57614
12018,82591
16284,73151
12124,58010
17072,162987
12492,107690
15559,98227
10592,129034
8340,93995
10967,71523
11504,125598
12858,134651
12924,92505
13237,148047
11192,180670
11674,62299
12771,320870
16593,72472
11213,91498
11228,107810
10503,50577
13046,139207
17885,110075
19116,68243
13331,68165
11451,78396
10250,218099
9215,109782
10933,136353
18838,92271
15021,184354
14900,81185
10305,79954
18168,106598
13485,81998
10450,94523
13431,63565
18235,99809
12225,167762
10468,76373
12674,136116
10729,138914
18808,192805
6965,79057
12775,208241
12743,122139
10084,66251
7816,140745
7926,153598
12038,64901
10818,213507
10020,128079
10524,114057
9484,94136
11736,44336
15092,87234
10875,87080
11475,35609
10809,79075
10705,97284
12331,81907
17012,142664
8152,58782
13960,183609
17162,110038
10376,158154
15323,123419
8472,111263
14646,79221
12364,114312
18504,180021
17600,135326
10297,170549
8408,87336
10215,45154
8374,122382
11411,152279
9807,102613
13501,65754
13332,97091
19393,170408
12127,102214
15187,99844
13410,142100
15278,85616
14632,198499
12099,94316
13944,185732
11942,76076
12634,75763
8698,104092
9748,131295
9571,82151
12137,89858
15641,229316
13418,58055
17118,82168
8015,103637
11456,96879
12832,79530
19525,84542
10614,125753
13065,77133
8803,92119
7669,128146
14558,135135
13216,52165
14988,138417
8667,49358
9674,54176
18986,99527
6512,60658
13096,54701
12927,168357
15345,179577
12300,79069
7451,186251
7677,116041
10949,87845
10765,318685
13303,92135
12008,94233
11531,50222
16979,60045
16618,129480
15288,140524
13151,50133
11667,37756
13503,140788
10913,76046
9309,122852
7751,65558
9916,24623
12226,144214
16629,117151
13916,125029
10230,138909
10531,92129
15912,189145
12472,120221
14166,88295
10722,118589
11336,105443
8719,81797
13488,129011
15529,75128
9001,77055
11555,89863
14345,63083
21729,110339
11090,79632
14652,187771
8319,96514
11847,132954
21043,56778
11996,101863
11017,181428
10257,132765
11791,91403
14877,76856
13272,118716
11162,157734
9549,116969
13254,149008
9644,64085
8080,195343
8342,51208
18902,119662
8629,153711
16881,41733
11262,75770
13915,156101
11449,33194
13282,100561
11417,120768
11933,148664
10399,61073
11977,121689
9216,210200
9798,122246
17527,183752
9438,128271
13294,90524
12467,38848
20721,157499
16550,79904
13454,97289
10278,117621
14673,97315
10168,157452
13832,106205
10998,217874
15362,64777
12255,78387
6830,71995
9962,38758
10692,74495
17529,69125
11364,71171
14997,71330
11315,208718
20136,68488
11141,115060
11335,88968
11260,50901
11765,119183
14431,83444
16178,93088
13677,100044
17094,85194
13406,150097
10715,86238
10719,103933
11990,74154
14457,138585
12109,26550
14390,38174
13314,49229
19295,99043
10933,46975
17884,91007
9017,178160
11106,73733
12143,36939
11030,98516
14604,152795
14911,175071
13679,119626
11671,110952
14863,72044
11174,70537
12800,103137
11236,123342
10527,75273
19410,126549
5765,137458
12108,108427
11797,62147
9104,56521
14037,121621
12085,173327
9674,28192
7203,64686
17154,127370
13707,79337
13070,39212
10139,88114
13723,115873
12016,64159
16030,47099
15932,107662
11231,81651
12559,88806
11394,146150
11920,123278
9739,212089
15730,131645
9449,48226
8141,74261
13225,80910
11629,168241
9153,73824
8175,115497
18011,150841
14263,77231
11018,75424
15136,99865
17141,181277
12971,111689
16270,185407
20346,49950
7478,76020
15972,37748
20347,92158
10563,54488
10215,102660
10622,133989
10792,64582
14848,120263
15085,104246
12343,106223
16189,52465
10999,52380
19351,85181
8293,52457
13508,153020
17514,65042
6767,161873
13296,100908
12962,84481
15713,44524
13492,66291
11815,100540
14664,86130
12923,95878
10965,153559
19891,109529
19396,86011
13409,114551
16073,190810
12826,99351
15084,105458
11740,194917
9576,142396
15665,81219
13126,78981
11947,116615
23306,133490
9899,48361
11167,76833
14808,118631
11998,84598
10171,170888
20806,43447
11795,85379
19320,68700
9431,48499
14298,144443
18265,142625
11198,62887
13599,105308
14929,76727
9230,45517
11324,142657
9657,65085
12031,76371
10620,104950
11497,120304
10906,69252
12510,92395
17835,50322
16813,98534
14113,44089
7315,121968
12591,86658
17264,71201
11093,56049
16453,133815
17194,131243
12789,58219
14801,203297
13420,85105
16496,171536
28361,93599
14999,97957
11458,82104
10923,212293
15296,91683
17925,121463
13714,59367
13562,71759
10530,90362
15243,139662
12169,102464
11256,113657
15930,209654
11779,170844
12339,113811
15165,108969
14023,88360
9192,194734
11919,49431
13201,117588
10245,35024
21224,142632
11186,143684
11954,80583
11510,116473
8919,113958
12320,127832
9937,86129
8259,60761
11698,109098
10114,72734
16506,108868
15633,131369
12933,215997
8378,95382
8828,86630
17991,106579
8167,81920
16942,121645
15744,123978
24160,73599
16327,29391
10471,83498
13557,114877
17380,72895
9152,130937
16549,80637
17417,93960
12944,66285
14046,90852
13967,78748
18203,94573
11986,162027
14790,162050
14414,87538
13299,48284
15199,121115
11514,107370
13663,134717
19476,99278
13317,78955
21112,99064
13193,106641
10182,117762
9879,61356
8835,117175
12586,78095
13644,127476
22118,76532
16099,116864
12427,80648
11767,163623
9365,127672
13059,83458
15169,88012
12661,144777
12544,92821
7096,86805
12090,100342
18247,92742
10543,221813
18505,173903
16906,53745
10094,59604
15578,209306
10017,79687
13044,123417
10571,65496
16797,70318
9367,55288
9479,92970
18141,102658
8939,103686
13401,77798
15754,109650
10322,110315
12768,39745
14679,33733
11175,92008
11157,74923
17962,126453
12616,72825
15344,163891
15570,139177
11440,88250
17682,86587
7823,55307
12527,124004
13542,124644
16383,229581
12259,197648
19889,101516
12304,64248
11621,57766
10609,122731
11373,167835
9122,63794
10050,93607
12877,116405
18820,95628
11147,192214
13648,73737
9734,91851
13328,95290
15364,139281
14508,63149
14025,144995
11906,112332
15070,79101
13094,103790
12561,125372
14304,66930
11020,75293
16113,98618
13582,77143
8560,52650
14617,71988
10592,105254
10670,76038
12538,58632
12694,219140
14960,77925
15291,133285
13650,84750
14714,159795
14975,193178
11335,129660
10580,106907
13295,62643
8908,93126
15538,84034
9876,72996
14754,78387
15723,109628
15734,54454
22786,55077
8506,68882
12366,144577
13860,93546
14440,127715
12566,137945
20303,68634
24311,99010
13092,90727
10702,110408
16394,42041
16178,93710
10000,163935
12541,68033
15737,100637
14488,116187
11908,78693
13478,71650
14885,145127
19675,164238
9620,53813
13525,135217
10329,82871
15973,58842
14058,79713
13649,89336
14484,65140
10048,89244
8071,214460
18002,88466
12479,149623
20653,154598
23140,66452
18141,117372
15798,104392
16247,48334
20238,89557
10705,129263
12357,297259
11053,109738
9799,112045
20370,80546
10264,73109
14329,91467
9396,139116
8351,60655
8886,155547
12110,102881
13263,181563
9706,114626
13776,174447
10333,166008
12932,81916
10312,63341
13687,57509
11349,70604
11818,79805
13927,78478
12203,124861
11121,106780
16886,76672
13955,55869
11544,197417
12033,155697
12296,89984
9210,114273
12572,53758
12698,77905
11535,83914
5945,72608
14859,78690
13199,47737
14887,53106
11728,100953
12085,40501
12481,96540
7239,176899
13486,74040
11982,63896
20337,98118
9413,136920
11054,81547
13339,91681
15407,68189
12073,63698
16043,130734
12396,68363
10722,93083
17545,98548
8949,66013
12582,179976
14649,45704
13204,69767
13190,36380
7945,113998
14920,101840
22112,101460
12219,115046
10935,103241
13285,99825
12860,83005
11261,343249
7850,55866
21105,101105
16224,130532
16476,124125
13527,80948
18567,111144
8065,41257
16783,40560
13623,199672
13684,93874
13099,83509
18390,82298
13197,111651
14646,71952
12021,155304
